TANK BULKHEAD DATA Group 98; Version 3.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
222.934,109.2877, 5, 5.2075,90.4063,132.2078
203.966,73.4063, 5, 4.9995,56.4063,90.4063
259.5949,33.0399, 5, 5.4861,-2.9984,56.4063
170,73.4063, 2.5, 2,56.4063,90.4063
138.7164,42.3166, 2.3309, 2,25.2403,56.4063
196.1719,110.7647, 2.2195, 2,90.4063,142.434
191.3776,91.9428, 0, 1.093,25.2403,142.434
170,73.4063, -2.5, 2,56.4063,90.4063
203.966,73.4063, -5, 4.9995,56.4063,90.4063
59.99,90.4063, 0, 4.9995,89.9063,90.9063
59.99,56.4063, 0, 4.9995,55.9063,56.9063
259.5949,33.0399, -5, 5.4861,-2.9984,56.4063
222.934,109.2877, -5, 5.2075,90.4063,132.2078
138.7164,42.3166, -2.3309, 2,25.2403,56.4063
196.1719,110.7647, -2.2195, 2,90.4063,142.434
